GENEID	DE_STATUS
FBGN0053556	TRUE
FBGN0038912	TRUE
FBGN0021795	TRUE
FBGN0028397	TRUE
FBGN0029002	TRUE
FBGN0250785	TRUE
FBGN0036560	TRUE
FBGN0031148	TRUE
FBGN0266421	TRUE
FBGN0001977	TRUE
FBGN0003557	TRUE
FBGN0036449	TRUE
FBGN0034804	TRUE
FBGN0038804	TRUE
FBGN0036770	TRUE
FBGN0031769	TRUE
FBGN0263118	TRUE
FBGN0032482	TRUE
FBGN0025740	TRUE
FBGN0028325	TRUE
FBGN0031538	TRUE
FBGN0038088	TRUE
FBGN0011592	TRUE
FBGN0003890	TRUE
FBGN0027375	TRUE
FBGN0035710	TRUE
FBGN0259714	TRUE
FBGN0015903	TRUE
FBGN0039804	TRUE
FBGN0028434	TRUE
FBGN0027578	TRUE
FBGN0262870	TRUE
FBGN0053138	TRUE
FBGN0038595	TRUE
FBGN0263042	TRUE
FBGN0037222	TRUE
FBGN0035285	TRUE
FBGN0036821	TRUE
FBGN0001206	TRUE
FBGN0030672	TRUE
FBGN0032078	TRUE
FBGN0051116	TRUE
FBGN0039876	TRUE
FBGN0035312	TRUE
FBGN0034636	TRUE
FBGN0265274	TRUE
FBGN0011206	TRUE
FBGN0026150	TRUE
FBGN0039644	TRUE
FBGN0034793	TRUE
FBGN0036059	TRUE
FBGN0050185	TRUE
FBGN0027552	TRUE
FBGN0032436	TRUE
FBGN0024273	TRUE
FBGN0032420	TRUE
FBGN0037046	TRUE
FBGN0025682	TRUE
FBGN0020391	TRUE
FBGN0038261	TRUE
FBGN0031992	TRUE
FBGN0265140	TRUE
FBGN0032601	TRUE
FBGN0039178	TRUE
FBGN0052687	TRUE
FBGN0032881	TRUE
FBGN0262127	TRUE
FBGN0035173	TRUE
FBGN0033502	TRUE
FBGN0264702	TRUE
FBGN0039651	TRUE
FBGN0028540	TRUE
FBGN0034894	TRUE
FBGN0033356	TRUE
FBGN0051955	TRUE
FBGN0025383	TRUE
FBGN0029881	TRUE
FBGN0267975	TRUE
FBGN0036688	TRUE
FBGN0015288	TRUE
FBGN0010314	TRUE
FBGN0036196	TRUE
FBGN0013347	TRUE
FBGN0266417	TRUE
FBGN0263257	TRUE
FBGN0037074	TRUE
FBGN0034970	TRUE
FBGN0004387	TRUE
FBGN0033224	TRUE
FBGN0034013	TRUE
FBGN0259935	TRUE
FBGN0003279	TRUE
FBGN0029147	TRUE
FBGN0035708	TRUE
FBGN0031126	TRUE
FBGN0031914	TRUE
FBGN0030305	TRUE
FBGN0260429	TRUE
FBGN0039756	TRUE
FBGN0085354	TRUE
FBGN0027945	TRUE
FBGN0031688	TRUE
FBGN0261109	TRUE
FBGN0035132	TRUE
FBGN0039209	TRUE
FBGN0031952	TRUE
FBGN0035850	TRUE
FBGN0037028	TRUE
FBGN0025683	TRUE
FBGN0286198	TRUE
FBGN0028394	TRUE
FBGN0261550	TRUE
FBGN0037718	TRUE
FBGN0054056	TRUE
FBGN0010768	TRUE
FBGN0014029	TRUE
FBGN0035766	TRUE
FBGN0086757	TRUE
FBGN0043362	TRUE
FBGN0031988	TRUE
FBGN0000139	TRUE
FBGN0038465	TRUE
FBGN0035644	TRUE
FBGN0031816	TRUE
FBTI0060355	TRUE
FBGN0038043	TRUE
FBGN0029506	TRUE
FBGN0051216	TRUE
FBGN0033483	TRUE
FBGN0265530	TRUE
FBGN0032140	TRUE
FBGN0033153	TRUE
FBGN0030974	TRUE
FBGN0265045	TRUE
FBGN0038745	TRUE
FBGN0004872	TRUE
FBGN0050344	TRUE
FBGN0004650	TRUE
FBGN0039590	TRUE
FBGN0023129	TRUE
FBGN0261811	TRUE
FBGN0002780	TRUE
FBGN0051098	TRUE
FBGN0035903	TRUE
FBGN0261445	TRUE
FBGN0050359	TRUE
FBGN0000928	TRUE
FBGN0036290	TRUE
FBGN0030966	TRUE
FBGN0010549	TRUE
FBGN0033844	TRUE
FBGN0046687	TRUE
FBGN0019957	TRUE
FBGN0038874	TRUE
FBGN0035932	TRUE
FBGN0287423	TRUE
FBGN0038391	TRUE
FBGN0263593	TRUE
FBGN0036279	TRUE
FBGN0034403	TRUE
FBGN0013997	TRUE
FBGN0086708	TRUE
FBGN0034221	TRUE
FBTI0019307	TRUE
FBGN0035608	TRUE
FBGN0029975	TRUE
FBGN0034249	TRUE
FBGN0259683	TRUE
FBGN0016693	TRUE
FBGN0034950	TRUE
FBGN0003117	TRUE
FBGN0266758	TRUE
FBGN0262582	TRUE
FBGN0039108	TRUE
FBGN0053558	TRUE
FBGN0270927	TRUE
FBGN0035811	TRUE
FBGN0029823	TRUE
FBGN0050035	TRUE
FBGN0004584	TRUE
FBGN0014033	TRUE
FBGN0025865	TRUE
FBGN0286781	TRUE
FBGN0002543	TRUE
FBGN0020416	TRUE
FBGN0033924	TRUE
FBTI0019249	TRUE
FBGN0035496	TRUE
FBGN0037901	TRUE
FBGN0286785	TRUE
FBGN0020762	TRUE
FBGN0010246	TRUE
FBGN0020764	TRUE
FBGN0028970	TRUE
FBGN0030318	TRUE
FBGN0052813	TRUE
FBGN0087035	TRUE
FBGN0026576	TRUE
FBGN0001197	TRUE
FBGN0025574	TRUE
FBGN0030343	TRUE
FBGN0014163	TRUE
FBGN0260936	TRUE
FBGN0039538	TRUE
FBGN0027621	TRUE
FBGN0003862	TRUE
FBGN0285947	TRUE
FBGN0264987	TRUE
FBGN0034753	TRUE
FBGN0034365	TRUE
FBGN0036257	TRUE
FBTI0019740	TRUE
FBGN0051005	TRUE
FBGN0003366	TRUE
FBGN0037896	TRUE
FBGN0041183	TRUE
FBGN0243512	TRUE
FBGN0038020	TRUE
FBGN0032785	TRUE
FBGN0036764	TRUE
FBGN0034029	TRUE
FBGN0027932	TRUE
FBGN0259741	TRUE
FBGN0016926	TRUE
FBGN0039580	TRUE
FBGN0032698	TRUE
FBGN0033192	TRUE
FBGN0037717	TRUE
FBGN0031245	TRUE
FBGN0040308	TRUE
FBGN0035539	TRUE
FBGN0027657	TRUE
FBGN0031752	TRUE
FBGN0035083	TRUE
FBGN0085434	TRUE
FBGN0267408	TRUE
FBGN0053329	TRUE
FBGN0010194	TRUE
FBGN0085249	TRUE
FBGN0053508	TRUE
FBGN0000064	TRUE
FBGN0036801	TRUE
FBGN0014469	TRUE
FBGN0003053	TRUE
FBGN0036194	TRUE
FBGN0011754	TRUE
FBGN0037884	TRUE
FBGN0005694	TRUE
FBGN0041588	TRUE
FBGN0038953	TRUE
FBGN0264816	TRUE
FBGN0037445	TRUE
FBGN0265191	TRUE
FBGN0001257	TRUE
FBGN0037213	TRUE
FBGN0039788	TRUE
FBGN0032421	TRUE
FBGN0028671	TRUE
FBGN0284221	TRUE
FBGN0031170	TRUE
FBGN0005636	TRUE
FBGN0039612	TRUE
FBGN0037705	TRUE
FBGN0037852	TRUE
FBGN0052280	TRUE
FBGN0036272	TRUE
FBGN0023169	TRUE
FBGN0003888	TRUE
FBGN0051477	TRUE
FBGN0038118	TRUE
FBGN0012034	TRUE
FBGN0041191	TRUE
FBGN0052133	TRUE
FBGN0040477	TRUE
FBGN0032699	TRUE
FBGN0030576	TRUE
FBGN0261555	TRUE
FBGN0031070	TRUE
FBGN0033205	TRUE
FBGN0086357	TRUE
FBGN0050046	TRUE
FBGN0036147	TRUE
FBGN0014417	TRUE
FBGN0003886	TRUE
FBGN0028646	TRUE
FBGN0029970	TRUE
FBGN0029870	TRUE
FBGN0266268	TRUE
FBGN0262035	TRUE
FBGN0261261	TRUE
FBGN0266020	TRUE
FBGN0025352	TRUE
FBGN0265003	TRUE
FBGN0030482	TRUE
FBGN0037760	TRUE
FBGN0033292	TRUE
FBGN0032026	TRUE
FBGN0035113	TRUE
FBGN0036053	TRUE
FBGN0053193	TRUE
FBGN0033890	TRUE
FBGN0002567	TRUE
FBGN0063494	TRUE
FBGN0002891	TRUE
FBGN0004512	TRUE
FBGN0000535	TRUE
FBGN0030361	TRUE
FBGN0036857	TRUE
FBGN0039797	TRUE
FBGN0026319	TRUE
FBGN0040660	TRUE
FBGN0265706	TRUE
FBGN0022213	TRUE
FBGN0085468	TRUE
FBGN0038608	TRUE
FBGN0261285	TRUE
FBGN0023537	TRUE
FBGN0086370	TRUE
FBGN0038651	TRUE
FBGN0063491	TRUE
FBGN0001942	TRUE
FBGN0029504	TRUE
FBGN0028717	TRUE
FBGN0035148	TRUE
FBGN0051125	TRUE
FBGN0027929	TRUE
FBGN0031399	TRUE
FBGN0033717	TRUE
FBGN0037539	TRUE
FBGN0261983	TRUE
FBGN0033364	TRUE
FBGN0029893	TRUE
FBGN0283531	TRUE
FBGN0031771	TRUE
FBGN0265011	TRUE
FBGN0030026	TRUE
FBGN0039525	TRUE
FBGN0004861	TRUE
FBGN0260450	TRUE
FBGN0031973	TRUE
FBGN0035969	TRUE
FBGN0052185	TRUE
FBGN0039094	TRUE
FBGN0039006	TRUE
FBGN0036746	TRUE
FBGN0033458	TRUE
FBGN0261015	TRUE
FBGN0034564	TRUE
FBGN0041627	TRUE
FBGN0027620	TRUE
FBGN0267470	TRUE
FBTI0019110	TRUE
FBGN0025693	TRUE
FBGN0037917	TRUE
FBGN0022702	TRUE
FBGN0000147	TRUE
FBGN0034523	TRUE
FBGN0026418	TRUE
FBGN0026323	TRUE
FBGN0029861	TRUE
FBGN0262782	TRUE
FBGN0034914	TRUE
FBGN0026409	TRUE
FBGN0036354	TRUE
FBGN0033302	TRUE
FBGN0039759	TRUE
FBGN0000578	TRUE
FBGN0031220	TRUE
FBTI0063710	TRUE
FBGN0053460	TRUE
FBGN0035076	TRUE
FBGN0034644	TRUE
FBGN0031097	TRUE
FBGN0038453	TRUE
FBGN0038349	TRUE
FBGN0026143	TRUE
FBGN0016694	TRUE
FBGN0028491	TRUE
FBGN0086253	TRUE
FBGN0040765	TRUE
FBGN0030685	TRUE
FBGN0004687	TRUE
FBGN0032805	TRUE
FBGN0030960	TRUE
FBGN0035262	TRUE
FBGN0035769	TRUE
FBGN0030077	TRUE
FBGN0020249	TRUE
FBGN0014141	TRUE
FBGN0063923	TRUE
FBGN0083983	TRUE
FBGN0053181	TRUE
FBGN0002945	TRUE
FBGN0033032	TRUE
FBGN0030485	TRUE
FBGN0030403	TRUE
FBGN0030884	TRUE
FBGN0031304	TRUE
FBGN0261283	TRUE
FBGN0004456	TRUE
FBGN0037672	TRUE
FBGN0011659	TRUE
FBGN0035295	TRUE
FBGN0053056	TRUE
FBGN0028399	TRUE
FBGN0020545	TRUE
FBGN0031990	TRUE
FBGN0000078	TRUE
FBGN0010551	TRUE
FBGN0034643	TRUE
FBGN0260746	TRUE
FBGN0038484	TRUE
FBGN0033204	TRUE
FBGN0085334	TRUE
FBGN0016754	TRUE
FBGN0036702	TRUE
FBGN0025571	TRUE
FBGN0060296	TRUE
FBGN0028690	TRUE
FBGN0004066	TRUE
FBGN0031968	TRUE
FBGN0004865	TRUE
FBGN0026380	TRUE
FBGN0020633	TRUE
FBGN0263200	TRUE
FBGN0264699	TRUE
FBGN0040373	TRUE
FBGN0030588	TRUE
FBGN0250732	TRUE
FBGN0003575	TRUE
FBGN0031540	TRUE
FBGN0016032	TRUE
FBGN0004133	TRUE
FBGN0036199	TRUE
FBGN0011236	TRUE
FBGN0261931	TRUE
FBGN0030412	TRUE
FBGN0034418	TRUE
FBGN0261789	TRUE
FBGN0261989	TRUE
FBGN0062978	TRUE
FBGN0003308	TRUE
FBGN0025390	TRUE
FBGN0034447	TRUE
FBGN0085450	TRUE
FBGN0040070	TRUE
FBGN0259228	TRUE
FBGN0265523	TRUE
FBGN0004870	TRUE
FBGN0030243	TRUE
FBGN0035287	TRUE
FBGN0027550	TRUE
FBGN0030612	TRUE
FBGN0000244	TRUE
FBGN0034417	TRUE
FBGN0260632	TRUE
FBGN0036893	TRUE
FBGN0041171	TRUE
FBGN0034139	TRUE
FBGN0035204	TRUE
FBGN0263197	TRUE
FBGN0261053	TRUE
FBGN0036825	TRUE
FBGN0002773	TRUE
FBGN0038145	TRUE
FBGN0037757	TRUE
FBGN0250757	TRUE
FBGN0035167	TRUE
FBGN0039467	TRUE
FBGN0031048	TRUE
FBGN0017551	TRUE
FBGN0033357	TRUE
FBGN0029840	TRUE
FBGN0035267	TRUE
FBGN0260768	TRUE
FBGN0020887	TRUE
FBGN0010909	TRUE
FBGN0039385	TRUE
FBGN0034390	FALSE
FBGN0029895	FALSE
FBGN0034290	FALSE
FBGN0250814	FALSE
FBGN0032603	FALSE
FBGN0263355	FALSE
FBGN0033624	FALSE
FBGN0052251	FALSE
FBGN0033663	FALSE
FBGN0002638	FALSE
FBGN0004400	FALSE
FBGN0050349	FALSE
FBGN0030114	FALSE
FBGN0004597	FALSE
FBGN0260934	FALSE
FBGN0004034	FALSE
FBGN0024277	FALSE
FBGN0032935	FALSE
FBGN0010877	FALSE
FBGN0030051	FALSE
FBGN0011305	FALSE
FBGN0035137	FALSE
FBGN0033541	FALSE
FBGN0000547	FALSE
FBGN0034083	FALSE
FBGN0264748	FALSE
FBGN0262945	FALSE
FBGN0036101	FALSE
FBGN0038143	FALSE
FBGN0031483	FALSE
FBGN0035023	FALSE
FBGN0022893	FALSE
FBGN0032810	FALSE
FBGN0024177	FALSE
FBGN0030073	FALSE
FBGN0053643	FALSE
FBGN0264953	FALSE
FBGN0003124	FALSE
FBGN0011766	FALSE
FBGN0033212	FALSE
FBGN0250788	FALSE
FBGN0032202	FALSE
FBGN0284220	FALSE
FBGN0051460	FALSE
FBGN0050148	FALSE
FBGN0031183	FALSE
FBGN0030839	FALSE
FBGN0261553	FALSE
FBGN0261862	FALSE
FBGN0085438	FALSE
FBGN0036318	FALSE
FBGN0025366	FALSE
FBGN0015240	FALSE
FBGN0004797	FALSE
FBGN0037369	FALSE
FBGN0030067	FALSE
FBGN0000346	FALSE
FBGN0040384	FALSE
FBGN0036317	FALSE
FBGN0037659	FALSE
FBGN0003870	FALSE
FBGN0015360	FALSE
FBGN0283545	FALSE
FBGN0032018	FALSE
FBGN0000524	FALSE
FBGN0029659	FALSE
FBGN0259166	FALSE
FBGN0035558	FALSE
FBGN0029820	FALSE
FBGN0011770	FALSE
FBGN0038552	FALSE
FBGN0286890	FALSE
FBGN0029944	FALSE
FBGN0033538	FALSE
FBGN0024841	FALSE
FBGN0028425	FALSE
FBGN0030467	FALSE
FBGN0037248	FALSE
FBGN0032040	FALSE
FBGN0261592	FALSE
FBGN0039273	FALSE
FBGN0053094	FALSE
FBGN0037363	FALSE
FBGN0030456	FALSE
FBGN0038363	FALSE
FBGN0032782	FALSE
FBGN0029891	FALSE
FBGN0032938	FALSE
FBGN0015575	FALSE
FBGN0030090	FALSE
FBGN0032979	FALSE
FBGN0033581	FALSE
FBGN0034408	FALSE
FBGN0039544	FALSE
FBGN0262114	FALSE
FBGN0015600	FALSE
FBGN0013685	FALSE
FBGN0035203	FALSE
FBGN0031389	FALSE
FBGN0052056	FALSE
FBGN0044020	FALSE
FBGN0039696	FALSE
FBGN0031872	FALSE
FBGN0052436	FALSE
FBGN0004606	FALSE
FBGN0036460	FALSE
FBGN0038515	FALSE
FBGN0051163	FALSE
FBGN0285925	FALSE
FBGN0035986	FALSE
FBGN0027948	FALSE
FBGN0039927	FALSE
FBGN0052485	FALSE
FBGN0032422	FALSE
FBGN0267339	FALSE
FBGN0027334	FALSE
FBGN0023181	FALSE
FBGN0031799	FALSE
